question,answer
Do you have any rooms with a private outdoor fire pit?,Please contact the front desk to request a room with a private outdoor fire pit.
Can I request a room with a private outdoor BBQ area?,Please contact the front desk to request a room with a private outdoor BBQ area.
Do you have any rooms with a private outdoor grill?,Please contact the front desk to request a room with a private outdoor grill.
Can I request a room with a private outdoor dining table?,Please contact the front desk to request a room with a private outdoor dining table.
Do you have any rooms with a private outdoor lounge chair?,Please contact the front desk to request a room with a private outdoor lounge chair.
Can I request a room with a private outdoor hammock?,Please contact the front desk to request a room with a private outdoor hammock.
Do you have any rooms with a private outdoor daybed?,Please contact the front desk to request a room with a private outdoor daybed.
What time is check-in?,Check-in is after 2 PM.
What is the check-out time?,Check-out is at 11:00 AM.
Can I request an early check-in or late check-out?,Yes; early check-in or late check-out requests can be made in advance; subject to availability.
What kind of meals do you offer?,5-course plated service; curated by a Michelin chef; with options for customization and dietary needs.
What are the meal timings?,Breakfast: 7:00 AM–9:00 AM; Lunch: 1:00 PM–3:00 PM; Dinner: 7:00 PM–9:00 PM.
Can I make tea or coffee in my room?,No; in-room tea/coffee makers are not provided; but tea and coffee can be ordered from the bar.
How does the camp generate electricity?,The camp runs on solar energy with a backup generator.
Is there an in-room safe available?,Yes; an in-room safe is available with a default code of 1234.
What activities are included in Morning Magic?,Sunrise Yoga; Guided bush walks; Safari drives; Breakfast.
What activities are available in the mid-morning?,Farm-to-table experience; Koroga (self-cooking with chef); Beadwork with local women; Pottery with local artisans; Maasai spear throwing.
What activities are available in the afternoon?,Photography classes; Village visit; School visit.
What activities are available in the evenings?,Safari drives; Sundowner moments; Bonfire under the stars; Bush Flix (Outdoor movie experience); Ranger talks & storytelling; Ceremony or wine-cutting evenings.
What activities are available at night?,Stargazing at the Sky Deck; Star Bed: Sleep beneath the stars.
Is there a spa available?,Yes; Spa in the wild is available.
Is there a pool available?,Yes; Pool serenity is available.
Is there a bar available?,Yes; Bahati’s Lounge (Open Bar) is available.
Is there a photo lounge available?,Yes; Photo Lounge is available.
Is there a library available?,Yes; Library is available.
Is there a Sky Deck available?,Yes; Sky Deck game viewing is available.
Can I request a packed breakfast or lunch for safaris?,Yes; packed breakfast/lunch for safaris is available on request.
What is the corkage fee for bringing wine to the common areas?,$25 per bottle.
How do I contact Ilora Retreats?,sales@ilora-retreats.com; +254-714-543-506; www.ilora-retreats.com.
Can I customize my meals to accommodate dietary needs?,Yes; options for customization and dietary needs are available.
What is the default code for the in-room safe?,1234.
Can I request a special meal; such as a bush breakfast or dinner?,Yes; special meals are available on request.
Are safari ponchos available in the rooms?,Yes; safari ponchos are available in rooms for use during game drives.
Are binoculars available at the reception?,Yes; binoculars are available at the reception.
What types of pillows are available for extra comfort?,Memory Foam Pillow; Latex Pillow; Anti-Snoring Pillow.
How long does it take for hot water to come after turning on the faucet?,20–60 seconds.
Can I request a room with a specific type of pillow?,Yes; extra pillows can be requested.
What is the policy on cancellations and refunds?,Please contact sales@ilora-retreats.com for more information.
Can I request a room with a specific view?,Yes; rooms with specific views can be requested; subject to availability.
Are there any additional fees for activities or services?,Please contact sales@ilora-retreats.com for more information.
Can I request a private safari or activity?,Yes; private safaris and activities can be requested; subject to availability.
What is the policy on children and minors?,Please contact sales@ilora-retreats.com for more information.
Can I request a babysitter or childcare services?,Yes; babysitting services can be arranged; subject to availability.
Are there any age restrictions for activities or services?,Please contact sales@ilora-retreats.com for more information.
Can I request a special occasion package or celebration?,Yes; special occasion packages and celebrations can be arranged; subject to availability.
What is the policy on pets and animals?,Please contact sales@ilora-retreats.com for more information.
Can I request a pet-friendly room or accommodation?,Yes; pet-friendly rooms and accommodations can be requested; subject to availability.
Are there any additional fees for pets or animals?,Please contact sales@ilora-retreats.com for more information.
Can I request a room with a specific type of bed or mattress?,Yes; rooms with specific types of beds or mattresses can be requested; subject to availability.
What is the policy on smoking and non-smoking rooms?,Please contact sales@ilora-retreats.com for more information.
Can I request a non-smoking room or accommodation?,Yes; non-smoking rooms and accommodations can be requested; subject to availability.
Are there any additional fees for smoking or non-smoking rooms?,Please contact sales@ilora-retreats.com for more information.
Can I request a room with a specific type of decor or style?,Yes; rooms with specific types of decor or styles can be requested; subject to availability.
What is the policy on noise levels and quiet hours?,Please contact sales@ilora-retreats.com for more information.
Can I request a room with a specific type of view or orientation?,Yes; rooms with specific types of views or orientations can be requested; subject to availability.
Are there any additional fees for rooms with specific views or orientations?,Please contact sales@ilora-retreats.com for more information.
Can I request a room with a specific type of amenities or services?,Yes; rooms with specific types of amenities or services can be requested; subject to availability.
What is the policy on late check-out and early check-in?,Please contact sales@ilora-retreats.com for more information.
Can I request a late check-out or early check-in?,Yes; late check-out or early check-in can be requested; subject to availability.
Are there any additional fees for late check-out or early check-in?,Please contact sales@ilora-retreats.com for more information.
Can I request a room with a specific type of accessibility features?,Yes; rooms with specific types of accessibility features can be requested; subject to availability.
What is the policy on accessibility and accommodations?,Please contact sales@ilora-retreats.com for more information.
What time is check-in?,Check-in is after 2 PM.
Do you have Wi-Fi?,Yes; complimentary Wi-Fi is available throughout the hotel.
What kind of tea options do you have?,We offer a variety of tea options including Hibiscus; Chamomile; English Breakfast; Green Tea; Earl Grey; Darjeeling; Masala Tea; Jasmine Tea; and Ice Tea.
Can I get a coffee to start my day?,Yes; we offer a selection of coffee options including Single Espresso; Double Espresso; Americano; Mocha; Café Latte; Cappuccino; Macchiato; Iced Coffee; and French Press.
Are soft drinks available?,Yes; we have a variety of soft drinks including Coke; Coke Zero; Sprite; Fanta Orange; Ginger Ale; Bitter Lemon; Soda Water; Tonic Water; and Sparkling Water.
Can I purchase fresh juices?,Yes; we offer a selection of fresh juices including Apple Juice.
What are the hours for the tea and coffee service?,Our tea and coffee service is available 24/7.
Do you have any game packages?,Yes; we offer a game package that includes complimentary drinks.
What is the full board option?,Our full board option includes meals and drinks.
Can I pay with cash?,Yes; we accept cash and credit card payments.
Do you have any special instructions for guests?,No; we do not have any special instructions for guests.
Can I get a room with a view?,Yes; we have rooms with beautiful views.
How do I book a room?,You can book a room by contacting us directly or through our website.
What is the check-out time?,Check-out is at 11 AM.
Can I get a late check-out?,Yes; late check-out is available for a fee.
Do you have any amenities?,Yes; we have a fitness center and a spa.
Can I get a room with a fitness center view?,Yes; we have rooms with a fitness center view.
Do you have any parking options?,Yes; we have parking available for guests.
Is parking free?,Yes; parking is free for guests.
Can I get a receipt for my payment?,Yes; we can provide a receipt for your payment.
Do you have any discounts for long stays?,Yes; we offer discounts for long stays.
Can I get a room with a private balcony?,Yes; we have rooms with private balconies.
Do you have any rooms with a kitchenette?,Yes; we have rooms with kitchenettes.
Can I get a room with a separate living area?,Yes; we have rooms with separate living areas.
Do you have any rooms with a hot tub?,Yes; we have rooms with hot tubs.
Can I get a room with a fireplace?,Yes; we have rooms with fireplaces.
Do you have any rooms with a pool view?,Yes; we have rooms with pool views.
Can I get a room with a mountain view?,Yes; we have rooms with mountain views.
Do you have any rooms with a city view?,Yes; we have rooms with city views.
Can I get a room with a garden view?,Yes; we have rooms with garden views.
Do you have any rooms with a beach view?,Yes; we have rooms with beach views.
Can I get a room with a balcony?,Yes; we have rooms with balconies.
Do you have any rooms with a patio?,Yes; we have rooms with patios.
Can I get a room with a private patio?,Yes; we have rooms with private patios.
Do you have any rooms with a private garden?,Yes; we have rooms with private gardens.
Can I get a room with a hot tub on the balcony?,Yes; we have rooms with hot tubs on the balcony.
Do you have any rooms with a fireplace on the balcony?,Yes; we have rooms with fireplaces on the balcony.
Can I get a room with a kitchenette on the balcony?,Yes; we have rooms with kitchenettes on the balcony.
Do you have any rooms with a separate living area on the balcony?,Yes; we have rooms with separate living areas on the balcony.
Can I get a room with a private balcony and hot tub?,Yes; we have rooms with private balconies and hot tubs.
Do you have any rooms with a private balcony and fireplace?,Yes; we have rooms with private balconies and fireplaces.
Can I get a room with a private balcony and kitchenette?,Yes; we have rooms with private balconies and kitchenettes.
Do you have any rooms with a private balcony and separate living area?,Yes; we have rooms with private balconies and separate living areas.
Can I get a room with a private balcony and pool view?,Yes; we have rooms with private balconies and pool views.
Do you have any rooms with a private balcony and mountain view?,Yes; we have rooms with private balconies and mountain views.
Can I get a room with a private balcony and city view?,Yes; we have rooms with private balconies and city views.
Do you have any rooms with a private balcony and garden view?,Yes; we have rooms with private balconies and garden views.
Can I get a room with a private balcony and beach view?,Yes; we have rooms with private balconies and beach views.
Do you have any rooms with a private balcony and hot tub and fireplace?,Yes; we have rooms with private balconies and hot tubs and fireplaces.
Can I get a room with a private balcony and hot tub and kitchenette?,Yes; we have rooms with private balconies and hot tubs and kitchenettes.
Do you have any rooms with a private balcony and hot tub and separate living area?,Yes; we have rooms with private balconies and hot tubs and separate living areas.
Can I get a room with a private balcony and fireplace and kitchenette?,Yes; we have rooms with private balconies and fireplaces and kitchenettes.
Do you have any rooms with a private balcony and fireplace and separate living area?,Yes; we have rooms with private balconies and fireplaces and separate living areas.
Can I get a room with a private balcony and kitchenette and separate living area?,Yes; we have rooms with private balconies and kitchenettes and separate living areas.
Do you have any rooms with a private balcony and pool view and hot tub?,Yes; we have rooms with private balconies and pool views and hot tubs.
Can I get a room with a private balcony and mountain view and hot tub?,Yes; we have rooms with private balconies and mountain views and hot tubs.
Do you have any rooms with a private balcony and city view and hot tub?,Yes; we have rooms with private balconies and
What time is check-in?,Check-in is after 3:00 PM.
Do you have Wi-Fi?,Yes; complimentary Wi-Fi is available throughout the hotel.
What are the room types available?,We offer Deluxe Room; Suite; Standard Room; and Family Room.
How much does a Deluxe Room cost?,A Deluxe Room costs $150-$250 per night.
Can I check-in early?,Check-in time can be flexible with prior arrangement.
What is the maximum occupancy per room?,The maximum occupancy per room is 4 people.
Do children stay for free?,Children under 12 years old stay for free.
What time is check-out?,Check-out time is 12:00 PM.
Can I extend my check-out time?,Check-out time can be extended with additional fee.
Do you have a fitness center?,Yes; a fitness center is available for guests.
Is the swimming pool open year-round?,The swimming pool is open during hotel operating hours.
Do you have a restaurant on site?,Yes; a restaurant is available for guests.
Can I order room service?,Yes; room service is available 24/7.
Do you have a bar on site?,Yes; a bar is available for guests.
Can I use a debit card for payment?,Yes; debit cards are accepted.
What are the accepted credit cards?,Visa; Mastercard; and Amex are accepted.
Can I pay with cash?,Yes; cash is accepted.
What is the phone number of the hotel?,The phone number is 555-1234.
What is the email address of the hotel?,The email address is info@illoraretreats.com.
What is the address of the hotel?,The address is 123 Main St; Anytown; USA.
Is parking available on site?,Yes; parking is available on site for $20 per night.
Can I bring my pet?,Pets are allowed with prior arrangement and additional fee.
What is the cancellation policy?,Cancellation policy: 24 hours prior to check-in for full refund.
Do you have laundry services?,Yes; laundry services are available for guests.
Can I request a specific room type?,Yes; please contact us to request a specific room type.
How far is the hotel from the city center?,The hotel is located in a nearby area.
Do you have a business center?,Yes; a business center is available for guests.
Can I make a reservation over the phone?,Yes; please call us to make a reservation.
Can I cancel my reservation online?,Yes; you can cancel your reservation online or by phone.
What is the check-in process like?,Please arrive at the hotel by 3:00 PM and present your ID and credit card.
Can I store my luggage before check-in?,Yes; we can store your luggage before check-in.
Do you have a spa on site?,Yes; a spa is available for guests.
Can I request a room with a view?,Yes; please contact us to request a room with a view.
How do I get to the hotel from the airport?,Please contact us for transportation options.
Do you have a gift shop on site?,Yes; a gift shop is available for guests.
Can I rent a car from the hotel?,Yes; we can arrange car rentals for you.
Do you have a tour desk on site?,Yes; a tour desk is available for guests.
Can I book a tour through the hotel?,Yes; please contact us to book a tour.
Do you have a concierge service?,Yes; a concierge service is available for guests.
Can I request extra towels or toiletries?,Yes; please contact housekeeping to request extra items.
Do you have a safe in the room?,Yes; a safe is available in each room.
Can I request a room with a separate living area?,Yes; please contact us to request a room with a separate living area.
What beverages are complimentary for all guests?,Tea; coffee; and water are complimentary for all guests.
What hours can tea and coffee be requested?,They can be requested anytime between 5 AM and 10 PM.
Are freshly brewed beverages available in rooms?,Yes freshly brewed beverages can be brought to the room.
What additional drinks are included in the game package?,The game package includes a selection of in house drinks.
What is Hibiscus tea?,It is a tangy infusion of hibiscus petals with floral and fruity notes.
What is Chamomile tea?,It is a soothing floral tea with gentle honeyed warmth.
What is English Breakfast tea?,It is a robust full bodied tea with a bold flavor and aroma.
What is Green tea?,It is a delicate tea with grassy notes and a hint of sweetness.
What is Earl Grey tea?,It is a black tea infused with citrusy bergamot flavor.
What is Darjeeling tea?,It is an Indian tea with delicate muscatel flavor and floral aroma.
What is Masala tea?,It is Kenyan chai infused with cardamom; cinnamon; and ginger.
What is Jasmine tea?,It is green tea infused with fragrant jasmine blossoms.
What is Ice Tea Cold?,It is brewed tea chilled and served with lemon wedges.
What is a Single Espresso?,It is a small concentrated shot of coffee with strong flavor.
What is a Double Espresso?,It is two concentrated shots of espresso with double intensity.
What is an Americano?,It is espresso diluted with hot water for a smooth taste.
What is a Mocha?,It is espresso blended with chocolate and milk.
What is a Café Latte?,It is espresso with steamed milk for a creamy flavor.
What is a Cappuccino?,It is espresso with frothed milk and foam on top.
What is a Macchiato?,It is espresso topped with a small amount of frothy milk.
What is Iced Coffee?,It is brewed coffee served cold with ice.
What is French Press coffee?,It is coffee steeped in hot water and pressed for a strong brew.
How is every cup described at Ilora Retreats?,It is described as more than a drink; it is a pause; a view; and a breath of Mara air.
Can guests request coffee after a game drive?,Yes beverages can be requested anytime between 5 AM and 10 PM.
What phone number can guests call for service?,Guests can call +254 714 543 506 for tea and coffee requests
Do you have a children's play area?,Yes; a children's play area is available for guests.
Can I book a babysitter through the hotel?,Yes; please contact us to book a babysitter.
Do you have a pet-sitting service?,Yes; a pet-sitting service is available for guests.
Can I request a room with a balcony?,Yes; please contact us to request a room with a balcony.
Do you have a poolside bar?,Yes; a poolside bar is available for guests.
Can I request a room with a king-size bed?,Yes; please contact us to request a room with a king-size bed.
Do you have a fitness class schedule?,Yes; a fitness class schedule is available for guests.
Can I book a personal trainer through the hotel?,Yes; please contact us to book a personal trainer.
Do you have a business meeting room?,Yes; a business meeting room is available for guests.
Can I request a room with a view of the city?,Yes; please contact us to request a room with a view of the city.
Do you have a shuttle service to the airport?,Yes; a shuttle service is available to the airport.
Can I request a room with a roll-in shower?,Yes; please contact us to request a room with a roll-in shower.
Do you have a wheelchair-accessible room?,Yes; a wheelchair-accessible room is available for guests.
Can I book a wheelchair-accessible room with a balcony?,Yes; please contact us to book a wheelchair-accessible room with a balcony.
Do you have a golf course nearby?,Yes; a golf course is nearby.
Can I request a room with a separate bedroom?,Yes; please contact us to request a room with a separate bedroom.
Do you have a children's menu in the restaurant?,Yes; a children's menu is available in the restaurant.
Can I request a high chair or booster seat?,Yes; please contact us to request a high chair or booster seat.
Do you have a baby-sitting service?,Yes; a baby-sitting service is available for guests.
Can I request a crib or playpen?,Yes; please contact us to request a crib or playpen.
Do you have a children's play area with a pool?,Yes; a children's play area with a pool is available for guests.
Can I request a room with a separate living area and a balcony?,Yes; please contact us to request a room with a separate living area and a balcony.
Do you have a business center with a printer?,Yes; a business center with a printer is available for guests.
Can I request a room with a king-size bed and a separate living area?,Yes; please contact us to request a room with a king-size bed and a separate living area.
What time is check-in?,Check-in is after 2 PM.
Do you have Wi-Fi?,Yes; complimentary Wi-Fi is available throughout the hotel.
How do I contact Housekeeping?,Call extension 2; long press the number to make a call.
Can I request a room with a view?,Please contact our Concierge at extension 7 to arrange a room with a view.
What amenities are included in the AP/Full Board package?,Tea and coffee are included in the package.
Can I book a spa treatment?,Yes; please contact our Spa team at extension 4 to book a treatment.
How do I get assistance with luggage?,Our Security team at extension 5 can assist with luggage.
Can I request a special meal?,Yes; please contact our Restaurant team at extension 3 to make a special request.
Do you have a fitness center?,No; but we can recommend nearby facilities.
Can I book a safari tour?,Yes; our Driver/Guide team at extension 6 can assist with tour bookings.
What are the check-in/out rules?,Check-in is after 2 PM and check-out is by 11 AM.
Can I request a late check-out?,Please contact our Duty Manager at extension 7 to request a late check-out.
Do you have a business center?,No; but we can recommend nearby facilities.
Can I book a meeting room?,Yes; please contact our Concierge at extension 7 to arrange a meeting room.
How do I get to the nearby town?,Our Driver/Guide team at extension 6 can assist with transportation.
Can I request a room with a balcony?,Please contact our Concierge at extension 7 to arrange a room with a balcony.
Do you have a pool?,Yes; our pool is open from 8 AM to 8 PM.
Can I book a poolside cabana?,Yes; please contact our Concierge at extension 7 to book a cabana.
How do I contact the Duty Manager?,Call extension 7; long press the number to make a call.
Can I request a wake-up call?,Yes; please contact our Housekeeping team at extension 2 to request a wake-up call.
Do you have a gift shop?,No; but we can recommend nearby shops.
Can I book a guided tour?,Yes; our Driver/Guide team at extension 6 can assist with tour bookings.
How do I get assistance with a medical emergency?,Our Security team at extension 5 can assist with medical emergencies.
Can I request a room with a king-size bed?,Please contact our Concierge at extension 7 to arrange a room with a king-size bed.
Do you have a laundry service?,Yes; our Housekeeping team at extension 2 can assist with laundry.
Can I book a spa package?,Yes; please contact our Spa team at extension 4 to book a package.
How do I contact the Concierge?,Call extension 7; long press the number to make a call.
Can I request a room with a separate living area?,Please contact our Concierge at extension 7 to arrange a room with a separate living area.
Do you have a children's play area?,No; but we can recommend nearby facilities.
Can I book a family-friendly activity?,Yes; our Concierge at extension 7 can assist with activity bookings.
How do I get assistance with a lost item?,Our Security team at extension 5 can assist with lost items.
Can I request a room with a roll-in shower?,Please contact our Concierge at extension 7 to arrange a room with a roll-in shower.
Do you have a pet-friendly policy?,No; but we can recommend nearby pet-friendly facilities.
Can I book a pet-friendly activity?,Yes; our Concierge at extension 7 can assist with activity bookings.
How do I contact the Spa team?,Call extension 4; long press the number to make a call.
Can I request a room with a whirlpool tub?,Please contact our Concierge at extension 7 to arrange a room with a whirlpool tub.
Do you have a fitness class schedule?,No; but we can recommend nearby classes.
Can I book a fitness class?,Yes; our Concierge at extension 7 can assist with class bookings.
How do I get assistance with a dietary restriction?,Our Restaurant team at extension 3 can assist with dietary restrictions.
Can I request a room with a kitchenette?,Please contact our Concierge at extension 7 to arrange a room with a kitchenette.
Do you have a grocery delivery service?,Yes; our Concierge at extension 7 can assist with grocery delivery.
Can I book a grocery shopping tour?,Yes; our Concierge at extension 7 can assist with tour bookings.
How do I contact the Driver/Guide team?,Call extension 6; long press the number to make a call.
Can I request a room with a view of the pool?,Please contact our Concierge at extension 7 to arrange a room with a pool view.
Do you have a poolside bar?,Yes; our poolside bar is open from 11 AM to 6 PM.
Can I book a poolside cabana with a private pool?,Yes; please contact our Concierge at extension 7 to book a cabana.
How do I get assistance with a language barrier?,Our Concierge at extension 7 can assist with language translation.
Can I request a room with a separate bedroom?,Please contact our Concierge at extension 7 to arrange a room with a separate bedroom.
Do you have a game room?,No; but we can recommend nearby facilities.
Can I book a game room package?,Yes; our Concierge at extension 7 can assist with package bookings.
How do I contact the Restaurant team?,Call extension 3; long press the number to make a call.
Can I request a room with a private balcony?,Please contact our Concierge at extension 7 to arrange a room with a private balcony.
Do you have a private dining room?,Yes; our Restaurant team at extension 3 can assist with private dining bookings.
Can I book a private dining experience?,Yes; please contact our Restaurant team at extension 3 to book a private experience.
How do I get assistance with a special occasion?,Our Concierge at extension 7 can assist with special occasion planning.
Can I request a room with a king-size bed and a separate living area?,Please contact our Concierge at extension 7 to arrange a room with a king-size bed and a separate living area.
Do you have a business center with a printer?,No; but we can recommend nearby facilities.
Can I book a business center package?,Yes; our Concierge at extension 7 can assist with package bookings.
What time is check-in?,Check-in is after 2 PM.
Do you have Wi-Fi?,Yes; complimentary Wi-Fi is available throughout the hotel.
How do I switch on the workstations?,To switch on the workstations; follow the sequence: turn on the electrical switches behind; then button below mac mini; then switch behind keyboard (to green); and switch below mouse (to green).
How do I switch off the workstations?,To switch off; shutdown from the apple icon on the screen and turn off the monitor (below right button).
What are the MAC shortcuts?,MAC shortcuts are: ⌘+C/V/X/Z (Copy; Paste; Cut; Undo); ⌘+W/Q (Close window or quit app); ⌘+Space (Open Spotlight search instantly); ⌘+Shift+4 (Take a custom screenshot); ⌘+Tab (Switch between open applications); Ctrl+J (Adjust size of icons in thumbnails).
What is the password for the computers?,"The password for both computers is ""apple""."
Can I store my personal information on the editing workstations?,No; guests should not store personal information on the editing workstations.
Do I need to sign out of email and online services before leaving the photo lounge?,Yes; guests are expected to sign out of email and online services before leaving the photo lounge to ensure personal data safety.
Are there any cameras available for rent?,Yes; rented cameras are available for use.
Can I purchase a USB A flash drive?,Yes; USB A flash drives are available for sale.
Do you have any memory card readers available?,Yes; 2 memory card readers (CF/Mini SD/SD) and 1 XQD card reader are available on request.
What type of display monitor do you have?,You have access to a color calibrated DELL Ultra-Sharp U2419h 24-inch IPS Display Monitor.
What is the storage capacity of the workstations?,Each workstation has 256GB SSD storage.
How many cores does the CPU have?,The CPU has 10-core.
How much unified memory does each workstation have?,Each workstation has 16GB unified memory.
What type of GPU does the workstation have?,The workstation has a 10-core GPU.
What type of Neural Engine does the workstation have?,The workstation has a 16-core Neural Engine.
What type of chip does the workstation have?,The workstation has an Apple M4 chip.
Can I use the workstations for personal projects?,Yes; the workstations are available for use.
Do you have any software installed on the workstations?,Yes; a list of creative and utility apps; including Adobe Photoshop; Adobe After Effects; Microsoft Word; and more; are installed on the workstations.
Can I use the workstations for commercial projects?,Yes; the workstations are available for use.
Do you have any specific software requirements for commercial projects?,No; the workstations are equipped with a variety of software to handle commercial projects.
Can I use the workstations for video editing?,Yes; the workstations are equipped with software such as Adobe After Effects for video editing.
Can I use the workstations for graphic design?,Yes; the workstations are equipped with software such as Adobe Photoshop for graphic design.
Can I use the workstations for writing?,Yes; the workstations are equipped with software such as Microsoft Word for writing.
Can I use the workstations for photography?,Yes; the workstations are equipped with software such as Adobe Lightroom for photography.
Can I use the workstations for music production?,Yes; the workstations are equipped with software such as Ableton Live for music production.
Can I use the workstations for video production?,Yes; the workstations are equipped with software such as Adobe Premiere Pro for video production.
Can I use the workstations for 3D modeling?,Yes; the workstations are equipped with software such as Blender for 3D modeling.
Can I use the workstations for animation?,Yes; the workstations are equipped with software such as Adobe Animate for animation.
Can I use the workstations for game development?,Yes; the workstations are equipped with software such as Unity for game development.
Can I use the workstations for web development?,Yes; the workstations are equipped with software such as Adobe Dreamweaver for web development.
Can I use the workstations for e-learning?,Yes; the workstations are equipped with software such as Articulate Storyline for e-learning.
Can I use the workstations for data analysis?,Yes; the workstations are equipped with software such as Excel for data analysis.
Can I use the workstations for scientific research?,Yes; the workstations are equipped with software such as MATLAB for scientific research.
Can I use the workstations for academic projects?,Yes; the workstations are available for use.
Can I use the workstations for personal projects?,Yes; the workstations are available for use.
Do you have any specific software requirements for academic projects?,No; the workstations are equipped with a variety of software to handle academic projects.
Can I use the workstations for research projects?,Yes; the workstations are available for use.
Do you have any specific software requirements for research projects?,No; the workstations are equipped with a variety of software to handle research projects.
Can I use the workstations for business projects?,Yes; the workstations are available for use.
Do you have any specific software requirements for business projects?,No; the workstations are equipped with a variety of software to handle business projects.
Can I use the workstations for non-profit projects?,Yes; the workstations are available for use.
Do you have any specific software requirements for non-profit projects?,No; the workstations are equipped with a variety of software to handle non-profit projects.
Can I use the workstations for government projects?,Yes; the workstations are available for use.
Do you have any specific software requirements for government projects?,No; the workstations are equipped with a variety of software to handle government projects.
Can I use the workstations for freelance projects?,Yes; the workstations are available for use.
Do you have any specific software requirements for freelance projects?,No; the workstations are equipped with a variety of software to handle freelance projects.
Can I use the workstations for startup projects?,Yes; the workstations are available for use.
Do you have any specific software requirements for startup projects?,No; the workstations are equipped with a variety of software to handle startup projects.
Can I use the workstations for small business projects?,Yes; the workstations are available for use.
Do you have any specific software requirements for small business projects?,No; the workstations are equipped with a variety of software to handle small business projects.
What time is check-in?,Check-in is after 3:00 PM.
Do you have Wi-Fi?,Yes; complimentary Wi-Fi is available throughout the hotel.
What room types do you offer?,We have Deluxe Rooms; Junior Suites; Standard Rooms; Suites; and Family Rooms.
Can I book a room for one night?,Our minimum stay is 2 nights.
How much does a Deluxe Room cost?,Deluxe Rooms cost between $150-$250 per night.
What is the maximum stay at ILLORA RETREATS?,You can stay up to 7 nights.
Do you have a fitness center?,Yes; our fitness center is available for guests.
Can I bring my pet?,Yes; pets are allowed with a $50 fee per night.
Do you have a swimming pool?,Yes; our swimming pool is open for guests.
What is the cancellation policy?,You can cancel your stay up to 24 hours prior to arrival.
Do you have a restaurant on site?,Yes; our restaurant serves a variety of meals.
Can I get room service?,Yes; room service is available from 7 AM to 10 PM.
Do you have a bar on site?,Yes; our bar serves cocktails and other drinks.
Can I use a debit card to pay?,Yes; debit cards are accepted as payment.
Do you have a laundry service?,Yes; our laundry service is available for guests.
Can I get a business center?,Yes; our business center is available for guests.
What is the check-out time?,Check-out is at 12:00 PM.
Do you have a parking lot?,Yes; parking is available on site.
Can I smoke in my room?,No; smoking is not allowed in the hotel.
Do you have a 24-hour front desk?,Yes; our front desk is available 24/7.
Can I get a wake-up call?,Yes; we can provide a wake-up call.
Do you have a gift shop on site?,No; but we can recommend nearby shops.
Can I book a tour or activity through the hotel?,Yes; we can help you book a tour or activity.
Do you have a spa or wellness center?,No; but we can recommend nearby spas.
Can I get a late check-out?,Late check-out is available for a fee; please ask the front desk.
Do you have a children's play area?,No; but we can recommend nearby play areas.
Can I get a high chair or crib for my room?,Yes; we can provide a high chair or crib.
Do you have a babysitting service?,No; but we can recommend nearby babysitting services.
Can I get a rollaway bed for my room?,Yes; we can provide a rollaway bed.
Do you have a luggage storage service?,Yes; we can store your luggage before check-in or after check-out.
Can I get a city map or guide?,Yes; we can provide a city map or guide.
Do you have a tour desk?,Yes; we can help you book a tour or activity.
Can I get a refund for my stay?,Please see our cancellation policy.
Do you have a lost and found?,Yes; our lost and found is available at the front desk.
Can I get a receipt for my stay?,Yes; we can provide a receipt.
Do you have a business meeting room?,Yes; our business meeting room is available for rent.
Can I get a projector or screen for my meeting?,Yes; we can provide a projector or screen.
Do you have a catering service?,Yes; our catering service can provide food and drinks for your meeting.
Can I get a discount for a long stay?,Please ask the front desk for our long stay discounts.
Do you have a loyalty program?,Yes; our loyalty program rewards repeat guests.
Can I get a discount for a group booking?,Yes; we can provide a discount for group bookings.
Do you have a wedding planning service?,Yes; our wedding planning service can help you plan your special day.
Can I get a discount for a honeymoon stay?,Yes; we can provide a discount for honeymoon stays.
Do you have a honeymoon suite?,Yes; our honeymoon suite is available for honeymooners.
Can I get a discount for a military stay?,Yes; we can provide a discount for military personnel.
Do you have a military discount?,Yes; our military discount is available for military personnel.
Can I get a discount for a student stay?,Yes; we can provide a discount for students.
Do you have a student discount?,Yes; our student discount is available for students.
Can I get a discount for a senior stay?,Yes; we can provide a discount for seniors.
Do you have a senior discount?,Yes; our senior discount is available for seniors.
Can I get a discount for a long-term stay?,Yes; we can provide a discount for long-term stays.
Do you have a long-term stay discount?,Yes; our long-term stay discount is available for guests.
Can I get a discount for a repeat stay?,Yes; we can provide a discount for repeat guests.
Do you have a repeat stay discount?,Yes; our repeat stay discount is available for guests.
Can I get a discount for a referral stay?,Yes; we can provide a discount for referrals.
Do you have a referral discount?,Yes; our referral discount is available for guests.
Can I get a discount for a corporate stay?,Yes; we can provide a discount for corporate guests.
Do you have a corporate discount?,Yes; our corporate discount is available for corporate guests.
Can I get a discount for a group stay?,Yes; we can provide a discount for group bookings.
Do you have a group discount?,Yes; our group discount is available for group bookings.
Can I get a discount for a wedding stay?,Yes; we can provide a discount for wedding guests.
Do you have a wedding discount?,Yes; our wedding discount is available for wedding guests.
Can I get a discount for a honeymoon stay?,Yes; we can provide a discount for honeymooners.
Do you have a honeymoon discount?,Yes; our honeymoon discount is available for honeymooners.
Can I get a discount for a military stay?,Yes; we can provide a discount for military personnel.
Do you have a military discount?,Yes; our military discount is available for military personnel.
Can I get a discount for a student stay?,Yes; we can provide a discount for students.
Do you have a student discount?,Yes; our student discount is available for students.
